Code,Description,Colonist_Settler,Meroplank_Holoplank,Taxonomic_group,Simp_morph,Simp_morph_name,Potential_ID
AMP1,Amphipod Type 1,C,H,Crustacea,AMP,Amphipod,
ISO1,Isopod Type 1,C,H,Crustacea,ISO,Isopod,
BIV1,Bivalve Veliger Type 1,S,M,Bivalvia,BV,Bivalve veliger,Bathymodiolus thermophilus
COP1,Copepod Type 1,C,H,Crustacea,COP,Copepod,
COP2,Copepod Type 2,C,H,Crustacea,COP,Copepod,
COP3,Copepod Type 3,C,H,Crustacea,COP,Copepod,
COP4,Copepod Type 4,C,H,Crustacea,COP,Copepod,
FOR1,Foraminifera,C,M,Rhizaria,FOR,Foraminifera,Abyssotherma pacifica
GAS1,Gastropod - conical spiral,C,M,Gastropoda,GAS,Gastropod,Bathymargarites symplector
GAS2,Gastropod - semicircle,C,M,Gastropoda,GAS,Gastropod,
GAS3,Gastropod - angular spiral,C,M,Gastropoda,GAS,Gastropod,Provanna sp.
GAS4,Gastropod - macaroni,C,M,Gastropoda,GAS,Gastropod,Pachydermia sp.
GAS5,Gastropod - white spiral,C,M,Gastropoda,GAS,Gastropod,Cyathermia naticoides
GASU,Gastropod - unknown,C,M,Gastropoda,GAS,Gastropod,
GAV1,Gastropod Veliger Type 1,S,M,Gastropoda,GV,Gastropod veliger,
GAV2,Gastropod Veliger Type 2,S,M,Gastropoda,GV,Gastropod veliger,
GAV3,Gastropod Veliger Type 3,S,M,Gastropoda,GV,Gastropod veliger,
GAVU,Gastropod Veliger - Unknown,S,M,Gastropoda,GV,Gastropod veliger,
GAS6,Limpet type 1,C,M,Gastropoda,GAS,Gastropod,Lepetodrilus elevatus
GAS7,Limpet type 2,C,M,Gastropoda,GAS,Gastropod,Lepetodrilus ovalis
GAS8,Limpet type 3,C,M,Gastropoda,GAS,Gastropod,Gorgoleptis sp.
GAS9,Limpet type 4,C,M,Gastropoda,GAS,Gastropod,Eulepetopsis vitrea
GAS10,Limpet type 5,C,M,Gastropoda,GAS,Gastropod,Lepetodrilus sp.
MIT1,Marine mite,C,H,Arachnida,MIT,Marine mite,Copidognathus papillatus
MUS1,Juvenile Mussel,C,M,Bivalvia,MUS,Juvenile mussel,Bathymodiolus thermophilus
CNP1,Nauplius - Copepod various,C,H,Crustacea,CNP,Copepod nauplius,
NEC1,Nectochaete Type 1,S,M,Polychaeta,NEC,Nectochaete,Archinome sp.
POL17,Polychaete Type 17,C,M,Polychaeta,POL,Polychaete,Polynoidae
NEC2,Nectochaete Type 2,S,M,Polychaeta,NEC,Nectochaete,
NEC3,Nectochaete Type 3,S,M,Polychaeta,NEC,Nectochaete,Prionospio sp.
POL18,Polychaete Type 18,C,M,Polychaeta,POL,Polychaete,Nereis sp.
NEC4,Nectochaete Type 4,S,M,Polychaeta,NEC,Nectochaete,Ophyrotrocha sp.
POL19,Polychaete Type 19,C,M,Polychaeta,POL,Polychaete,
NEC5,Nectochaete Type 5,S,M,Polychaeta,NEC,Nectochaete,
NEC6,Nectochaete Type 6,S,M,Polychaeta,NEC,Nectochaete,
NEC7,Nectochaete Type 7,S,M,Polychaeta,NEC,Nectochaete,Nereis sp.
NEC8,Nectochaete Type 8,S,M,Polychaeta,NEC,Nectochaete,
POL21,Polychaete Type 21,C,M,Polychaeta,POL,Polychaete,Polynoidae
POL22,Polychaete Type 22,C,M,Polychaeta,POL,Polychaete,Polynoidae
POL27,Polychaete Type 27,C,M,Polychaeta,POL,Polychaete,Polynoidae
NEM1,Nematode,C,M,Nematoda,NEM,Nematode,
NECU,Nectochaete - unknown,S,M,Polychaeta,NEC,Nectochaete,
OPH1,Ophiuroid,C,M,Echinodermata,OPH,Ophiuroid,
OST1,Ostracod,C,H,Crustacea,OST,Ostracod,
POL1,Polychaete Type 1,C,M,Polychaeta,POL,Polychaete,Hesionidae
POL2,Polychaete Type 2,C,M,Polychaeta,POL,Polychaete,Polynoidae
POL3,Polychaete Type 3,C,M,Polychaeta,POL,Polychaete,Ophryotrocha akessoni
POL4,Polychaete Type 4,C,M,Polychaeta,POL,Polychaete,Glycera
POL5,Polychaete Type 5,C,M,Polychaeta,POL,Polychaete,Polynoidae
POL6,Polychaete Type 6,C,M,Polychaeta,POL,Polychaete,Polynoidae
POL7,Polychaete Type 7,C,M,Polychaeta,POL,Polychaete,
POL8,Polychaete Type 8,C,M,Polychaeta,POL,Polychaete,Hesionid
POL9,Polychaete Type 9,C,M,Polychaeta,POL,Polychaete,
POL11,Polychaete Type 11,C,M,Polychaeta,POL,Polychaete,Polynoidae
POL12,Polychaete Type 12,C,M,Polychaeta,POL,Polychaete,Polynoidae
POL15,Polychaete Type 15,C,M,Polychaeta,POL,Polychaete,Archinome sp.
POL16,Polychaete - tentacle,C,M,Polychaeta,POL,Polychaete,Amphisamytha galapagensis
POLU,Polychaete - unknown,C,M,Polychaeta,POL,Polychaete,
