"","Representative_ASV","Beta","SE","P","FDR_BH","DA","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"5","ASV5",0.802355592503988,0.175324505973249,4.73038922085342e-06,5.75317607941632e-05,TRUE,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"17","ASV18",3.04957639785517,0.615754477094595,7.32340429940918e-07,1.06307481765617e-05,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"26","ASV27",1.63496153088442,0.574256388784019,0.00441204260961353,0.0268299888422444,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"27","ASV28",-1.27906343063106,0.485318866501477,0.00840105908231259,0.045005673655246,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"36","ASV37",-0.781782076323822,0.245387589312244,0.00144300898536814,0.00941092816544442,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"45","ASV47",-4.04236386132179,1.25970103559055,0.00133203656505329,0.00920096509489936,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Crocinitomix",NA
"61","ASV63",-0.474670635957728,0.168012489002091,0.0047249574459446,0.0279767217194088,TRUE,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas",NA
"66","ASV68",3.18295573159416,0.992590663198752,0.00134259765500105,0.00920096509489936,TRUE,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas",NA
"77","ASV79",4.91444045531192,0.582272454817625,3.17053662409496e-17,7.13370740421365e-15,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"80","ASV82",3.6877247322858,0.906776859194403,4.76530601437277e-05,0.000476530601437277,TRUE,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas",NA
"87","ASV89",-4.46936650897816,0.952792710092797,2.72129862206946e-06,3.40162327758683e-05,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"90","ASV92",4.8769221501207,0.903898718709294,6.83596880180411e-08,1.28174415033827e-06,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"122","ASV124",2.95453657970016,1.023365850711,0.00388838370433813,0.0243023981521133,TRUE,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae",NA,NA
"131","ASV134",4.61208069899003,0.87419844288241,1.32190920103575e-07,2.28791977102341e-06,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"136","ASV139",3.55774318540988,0.74392270325869,1.73206163804882e-06,2.36190223370293e-05,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"140","ASV143",-3.01766325918021,0.789226056947664,0.000131531748834946,0.00123311014532762,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae",NA,NA
"146","ASV149",1.39889362303019,0.286084435953031,1.00942158297154e-06,1.41949910105373e-05,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA
"154","ASV157",4.11526154515158,0.962625110628294,1.91102364732727e-05,0.000209746497877384,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"164","ASV167",4.77178487545172,0.847530676167904,1.79979024777159e-08,4.26266111314325e-07,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"168","ASV171",3.66900360852619,1.16906073107904,0.00169861280898481,0.0107658558315939,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"169","ASV173",-2.86056495373685,1.04323389107796,0.00610632009036459,0.0339240005020255,TRUE,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"178","ASV182",4.74423127829856,0.68705598209639,5.01469817745662e-12,3.22373454265069e-10,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"179","ASV183",0.582328736234348,0.180999469854432,0.00129405350728376,0.00920096509489936,TRUE,"Bacteria","Desulfobacterota","Desulfuromonadia","Desulfuromonadales","Geopsychrobacteraceae","Desulfuromusa",NA
"191","ASV195",1.71580566931677,0.62065205323373,0.00570064279610844,0.0324720159272,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Cocleimonas",NA
"194","ASV198",3.88193465672825,0.819169409357028,2.149167922869e-06,2.76321590083158e-05,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"201","ASV205",4.5158083056778,0.622091902892183,3.8976243129058e-13,3.50786188161522e-11,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"205","ASV209",4.43714221282145,0.813414325530517,4.89840051385947e-08,1.05562628559508e-06,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"210","ASV214",4.26094692092776,0.781258631676146,4.92625599944371e-08,1.05562628559508e-06,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","PS1 clade",NA,NA
"229","ASV234",-1.61481883495097,0.380250281905626,2.16916771974736e-05,0.000227005924159607,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oleispira","antarctica"
"231","ASV236",1.854413753895,0.420104563554612,1.01397373756512e-05,0.000116996969719053,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"235","ASV240",4.45640584522611,0.773419551450361,8.31469571486707e-09,2.49440871446012e-07,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Ectothiorhodospiraceae",NA,NA
"245","ASV251",2.64837427298135,0.830859309037802,0.0014350235086295,0.00941092816544442,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","HTCC5015",NA
"246","ASV252",4.39796839303721,0.776198503840721,1.46139133673857e-08,3.86838883254328e-07,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"247","ASV253",3.65270912721109,0.76898683268586,2.03388301617064e-06,2.69190399199055e-05,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Pseudahrensia",NA
"250","ASV257",1.82769173499424,0.437227064464503,2.91267000032187e-05,0.000297886704578373,TRUE,"Bacteria","Verrucomicrobiota","Lentisphaeria","Lentisphaerales","Lentisphaeraceae","Lentisphaera",NA
"256","ASV263",4.21566596999342,0.612535612055577,5.88856320118228e-12,3.31231680066503e-10,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"258","ASV265",5.06924049524008,0.688867857360683,1.85571406642007e-13,2.08767832472258e-11,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseobacter clade NAC11-7 lineage",NA
"261","ASV269",4.45980574594773,0.785562218954879,1.3690522138717e-08,3.85045935151416e-07,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Marine Methylotrophic Group 2",NA
"262","ASV270",-2.5167765789888,0.931979501779592,0.00692429452108738,0.0379991772498698,TRUE,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
