Partner,Pair,lrv,metric,alpha,propr
ASV23,ASV7,14.31992206,rho,NA,-0.843575603
ASV68,ASV48,34.83756839,rho,NA,-0.836800799
ASV93,ASV72,33.75846036,rho,NA,-0.825969714
ASV39,ASV36,13.26661907,rho,NA,-0.822243659
ASV90,ASV72,36.84322788,rho,NA,-0.812706848
ASV124,ASV48,31.57314804,rho,NA,-0.800288604
ASV26,ASV5,2.20064894,rho,NA,-0.800097723
ASV48,ASV15,30.61513011,rho,NA,-0.793139986
ASV219,ASV139,37.33426475,rho,NA,-0.793115684
ASV110,ASV72,37.84988569,rho,NA,-0.788043736
ASV50,ISO1,5.634276177,rho,NA,-0.784923274
ASV97,ASV5,2.289515648,rho,NA,-0.78297389
ASV51,ASV39,13.15423386,rho,NA,-0.774502743
ASV20,BIV1,5.662892822,rho,NA,-0.773214316
ASV201,ASV48,29.06818485,rho,NA,-0.765280968
ASV6,ISO1,7.844424883,rho,NA,-0.76411523
ASV110,ASV27,38.95811907,rho,NA,-0.763494728
ASV77,ASV73,10.35118522,rho,NA,-0.762805443
ASV61,ASV5,2.729128583,rho,NA,-0.76221808
ASV171,ASV89,40.13000149,rho,NA,-0.762061566
ASV93,ASV76,37.5234508,rho,NA,-0.757388996
ASV115,ASV48,30.93848188,rho,NA,-0.753230697
ASV94,ASV23,21.77393041,rho,NA,-0.749246964
ASV77,ASV39,13.00149619,rho,NA,-0.746419457
ASV30,ISO1,5.256485723,rho,NA,-0.745860113
ASV33,ASV15,40.37305942,rho,NA,-0.743313407
ASV65,ASV5,3.574982841,rho,NA,-0.742970322
ASV75,ASV5,3.070688226,rho,NA,-0.740930218
ASV54,ASV5,2.220643418,rho,NA,-0.735443499
ASV112,ASV66,33.7312163,rho,NA,-0.73427966
ASV82,ASV72,35.60013058,rho,NA,-0.733021577
ASV90,ASV27,36.75976405,rho,NA,-0.73002709
ASV184,ASV64,25.47340369,rho,NA,-0.729638387
ASV93,ASV78,37.38938376,rho,NA,-0.729312068
ASV85,ASV7,11.28106909,rho,NA,-0.728950136
ASV184,ASV74,25.89141149,rho,NA,-0.727289241
ASV101,ASV74,27.25315736,rho,NA,-0.72601376
ASV76,ASV23,23.18160479,rho,NA,-0.724173092
ASV84,ISO1,6.525816036,rho,NA,-0.721728127
ASV67,ASV23,22.99852172,rho,NA,-0.72111927
ASV77,ASV23,11.97549252,rho,NA,-0.718951958
ASV72,ASV15,30.39003456,rho,NA,-0.718634698
ASV93,ASV52,37.00475741,rho,NA,-0.717643174
ASV157,ASV74,25.07289237,rho,NA,-0.715690834
ASV64,ISO1,11.89518857,rho,NA,-0.714032215
ASV52,ASV23,23.36530412,rho,NA,-0.713356521
ASV110,ASV22,48.13464214,rho,NA,-0.711397429
ASV100,ASV99,13.31874857,rho,NA,-0.709461209
ASV100,ASV93,28.01310891,rho,NA,-0.709228948
ASV87,ISO1,5.877188835,rho,NA,-0.708450575
ASV157,ASV89,38.7303551,rho,NA,-0.708341467
ASV89,ASV79,39.29450954,rho,NA,-0.708138789
ASV93,ASV22,43.42741721,rho,NA,-0.70667892
ASV75,ASV7,9.987341955,rho,NA,-0.706285487
ASV108,ASV51,9.031397629,rho,NA,-0.705528206
ASV99,ASV77,10.69721419,rho,NA,-0.704633687
ASV46,POL1,3.28323459,rho,NA,-0.703356417
ASV74,ISO1,12.22296245,rho,NA,-0.697181509
ASV134,ASV74,27.11801388,rho,NA,-0.696270572
ASV32,ASV23,25.90226019,rho,NA,-0.695574637
ASV36,BIV1,8.831220973,rho,NA,-0.694769246
ASV71,GAS7,16.55551247,rho,NA,-0.693979431
ASV48,ASV23,16.86906996,rho,NA,-0.691641087
ASV75,ASV46,3.087118256,rho,NA,-0.690573868
ASV72,ASV23,17.88018335,rho,NA,-0.689806599
ASV108,ASV77,8.998408024,rho,NA,-0.689171736
ASV73,ASV51,9.863993456,rho,NA,-0.688967792
ASV13,ASV5,2.510050753,rho,NA,-0.688084727
ASV124,ASV47,40.40138329,rho,NA,-0.685808454
ASV41,POL9,2.904796919,rho,NA,-0.685762665
