"","Eukaryotes","Chloroplasts","Mitochondria","DNA Extraction solutions","Human related"
"PM",0,0.0139436305495622,0.0139436305495622,0.0139436305495622,0.0320703502640018
"PO",0,0,0.017455270868405,0.017455270868405,0.0224424911165144
"PP1",0,0.00225750960570759,0.00406351729026477,0.00632102689597236,0.0139965595553626
"PP10",0,0.00873128231354547,0.00873128231354547,0.00873128231354547,0.00873128231354547
"PP11",0,0,0,0.0152994763207848,0.0236049063234933
"PP12",0,0.0316547919325449,0.0371818190953777,0.0391916471545906,0.0442162173026062
"PP3",0,0.0157488315383092,0.0157488315383092,0.0172729120097581,0.0299735826051584
"PP5",0,0.00542254108617524,0.0120964378076294,0.0450488028697738,0.086760657378826
"PQ",0,0,0,0,0
"PR",0,0.0143570678333704,0.0332479465614877,0.0351370344342961,0.199865496943452
"PW",0,0.0175146974749074,0.0191670274253708,0.0224716873262976,0.029411473118246
"PX",0,0.00135406558190443,0.00135406558190443,0.171063618514589,0.616551194962878
"PP2",0,0.00425723943565659,0.00425723943565659,0.00681158309705499,0.0119202704198518
