"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"2","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"3","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas",NA
"4","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"5","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"6","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"7","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"8","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas",NA
"9","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas",NA
"10","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae",NA,NA
"11","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"12","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"13","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"14","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",NA
"15","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas",NA
"16","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"17","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Crocinitomix",NA
"18","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"19","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"20","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Aureispira",NA
"21","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"22","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"23","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"24","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"25","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Rubritalea","profundi"
"26","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas",NA
"27","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"28","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"29","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"30","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
